restaurant_name,area,parking_id,hour,day_of_week,is_weekend,occupied_slots,total_slots,occupancy_rate,is_peak_hour,status
Windmills Craftworks,brookefield,86,13,3,0,153,199,0.7696714153011233,0,Busy
Fatso's,brigade road,2454,5,4,0,13,161,0.08617356988288154,0,Available
Fabindia Cafe,"byresandra,tavarekere,madiwala",372,11,1,0,84,233,0.36476885381006924,0,Available
Namaste Kitchen,"byresandra,tavarekere,madiwala",2459,10,4,0,248,256,0.9723029856408025,1,Full
Spice Corner,kalyan nagar,2174,13,6,1,235,293,0.8045846625276664,0,Full
Subway,bellandur,273,8,4,0,171,215,0.7965863043050819,1,Full
Hungry Lee,koramangala 5th block,687,14,0,0,223,255,0.8779212815507391,0,Full
The Oriental Spice - Ashraya Hotel,residency road,2193,8,0,0,236,264,0.8967434729152908,1,Full
Bearfoot Cafe,"byresandra,tavarekere,madiwala",310,21,5,1,147,230,0.6430525614065047,0,Busy
TGI Fridays,bannerghatta road,1435,18,3,0,114,137,0.8342560043585965,1,Full
Expresso Restaurant,brookefield,2745,8,2,0,106,138,0.7736582307187537,1,Busy
Bang - The Ritz-Carlton,lavelle road,1679,22,6,1,69,108,0.6434270246429743,0,Busy
Maddy's Cafe,frazer town,2222,13,1,0,201,271,0.7441962271566034,0,Busy
Malabar Xpress,koramangala 6th block,1121,16,4,0,16,148,0.1086719755342202,0,Available
Shawarma Hunt,hsr,1055,22,1,0,113,265,0.42750821674869666,0,Available
Hunan Express,whitefield,877,12,1,0,140,211,0.6637712470759027,0,Busy
Mathsya Darshini,brigade road,1048,15,1,0,50,252,0.19871688796655762,0,Available
Pandit Ji Sweets & Namkeen,electronic city,314,1,6,1,34,237,0.14642473325952737,0,Available
Udupi South Saviruchi,new bel road,1766,13,3,0,172,274,0.6291975924478789,0,Busy
Sandwich Hub,"byresandra,tavarekere,madiwala",21,20,0,0,150,236,0.6387696298664709,1,Busy
Mummy's Kitchen,indiranagar,1994,1,6,1,51,196,0.2615648768921554,0,Available
NalaMaharaja,new bel road,845,4,0,0,11,148,0.07742236995134644,0,Available
Dining Hut,banashankari,259,18,3,0,203,259,0.7867528204687924,1,Full
